a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-sans-pro-fonts 2.045ro+1.095it-1
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
aom 1.0.0-1
apm 2.2.3-2
appstream-glib 0.7.15-1
apr 1.7.0-1
apr-util 1.6.1-5
arandr 0.1.10-3
arc-gtk-theme 20190330-1
archlinux-appstream-data 20190614-1
archlinux-keyring 20190123-2
arcolinux-applications-git 19.3-2
arcolinux-arc-themes-nico-git 19.3-2
arcolinux-bin-git 19.6-1
arcolinux-config-xmobar-git 19.4-2
arcolinux-config-xmonad-git 19.4-1
arcolinux-fonts-git 19.3-2
arcolinux-geany-git 19.7-1
arcolinux-kvantum-git 19.3-1
arcolinux-lightdm-gtk-greeter 2:2.0.6-1
arcolinux-lightdm-gtk-greeter-settings 1.2.2-3
arcolinux-mirrorlist-git 19.6-1
arcolinux-neofetch-git 19.3-1
arcolinux-nitrogen-git 19.3-2
arcolinux-oblogout-themes-git 19.5-1
arcolinux-oblogout-xmonad 0.2-19
arcolinux-polybar-git 19.3-1
arcolinux-qt5-git 19.3-4
arcolinux-rofi-git 19.3-1
arcolinux-rofi-themes-git 19.3-1
arcolinux-root-git 19.3-9
arcolinux-slim 1.3.6-8
arcolinux-slimlock-themes-git 19.3-1
arcolinux-system-config-git 19.6-1
arcolinux-termite-themes-git 19.3-1
arcolinux-variety-git 19.5-2
arcolinux-wallpapers-git 19.3-6
arcolinux-xfce-thunar-git 19.7-3
arcolinux-xmonad-polybar-git 19.7-2
argon2 20171227-3
aribb24 1.0.3-2
arj 3.10.22-12
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
atom 1.38.1-1
attr 2.4.48-1
audiofile 0.3.6-4
audit 2.8.5-2
autoconf 2.69-5
autoconf-archive 1:2019.01.06-1
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
awesome-terminal-fonts 1.1.0-2
babl 0.1.66-1
baobab 3.32.0-1
bash 5.0.007-1
bash-completion 2.9-1
bc 1.07.1-3
binutils 2.32-1
bison 3.3.2-1
blas 3.8.0-2
bluez-libs 5.50-6
boost-libs 1.69.0-2
brotli 1.0.7-1
btrfs-progs 5.1-1
bubblewrap 0.3.3-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.44-1
ca-certificates-utils 20181109-1
cabextract 1.9.1-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
catfish 1.4.7-2
cblas 3.8.0-2
cdparanoia 10.2-7
celt 0.11.3-3
checkupdates-aur 0.04-1
chromaprint 1.4.3-2
chromium 75.0.3770.90-2
cifs-utils 6.8-2
cmatrix 2.0-1
colord 1.4.4-2
colord-sane 1.4.4-2
compton 6.2-2
conky-lua-archers 1.11.3-2
cool-retro-term 1.1.1-1
coreutils 8.31-1
cracklib 2.9.7-1
cryptsetup 2.1.0-1
cups 2.2.11-2
cups-filters 1.25.0-1
cups-pdf 3.0.1-4
curl 7.65.1-2
db 5.3.28-4
dbus 1.12.14-1
dbus-glib 0.110-1
dconf 0.32.0-3
dconf-editor 3.32.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.185-1
dhcpcd 7.2.1-1
diffutils 3.7-1
discord 0.0.9-3
djvulibre 3.5.27-4
dmenu 4.9-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-2
double-conversion 3.1.5-1
downgrade 6.2.1-0
dropbox 72.4.136-1
e2fsprogs 1.45.2-1
electron 4.1.4-1
enchant 2.2.3-2
evince 3.32.0-1
evolution 3.32.2-1
evolution-data-server 3.32.2-1
exiv2 0.27.1-1
exo 0.12.6-1
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 3.1.3-1
ffmpeg 1:4.1.3-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.37-2
file-roller 3.32.1-1
filesystem 2019.05-2
findutils 4.6.0-4
firefox 67.0.2-1
flac 1.3.2-2
flex 2.6.4-2
fluidsynth 2.0.5-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.10.0-2
fribidi 1.0.5-1
fuse-common 3.5.0-1
fuse2 2.9.9-1
galculator 2.1.4-4
garcon 0.6.2-1
gawk 4.2.1-2
